sku,title,description,quantity,price,product url,image url
7702477417109,Leche Algarra Nutrimint 6 Unidades X1000ml C/U,"Sixpack  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",6000ml,1.0,https://supermercadoslacanasta.com/es/productos/sixpack-leche-algarra-nutrimnt-bs-1000ml,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTQ2MTcwLCJwdXIiOiJibG9iX2lkIn19--fa6339923102c672766605fa4971262e53d10f45/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702477417109.jpg?locale=es
7702402056243,Helado Crem Helado Brownie & Cookies 5 Litros,"Tarro  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",6000ml,1.0,https://supermercadoslacanasta.com/es/productos/tarro-x-5-lt-trad-brownie-cookies,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTMwMjczLCJwdXIiOiJibG9iX2lkIn19--79162f32bf816224addb27d3c491e3958b2d6df6/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702402056243.png?locale=es
7702001046515,Yogurt Original Alpina Melocotón 1750 G,"YOGT  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1750gr,1.0,https://supermercadoslacanasta.com/es/productos/yogt-alpi-x1750-melocoton,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTQwNzQ0LCJwdXIiOiJibG9iX2lkIn19--7d6d6ac88ef3d8afbec8d7781da8b7f868167fc8/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001046515.png?locale=es
7702001046508,Yoghurt Alpina x 1750 Fresa,"YOGHURT  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1750gr,1.0,https://supermercadoslacanasta.com/es/productos/yoghurt-alpina-x-1750-fresa,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODY5Mzc0LCJwdXIiOiJibG9iX2lkIn19--f81458d9e1c9e7dd84be2e32b274ca664df00b47/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001046508?locale=es
7702001046522,Yoghurt Alpina x 1750 Mora,"YOGHURT  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1750gr,1.0,https://supermercadoslacanasta.com/es/productos/yoghurt-alpina-x-1750-mora,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODY5Mzc2LCJwdXIiOiJibG9iX2lkIn19--ee34ab04fa8da5ea702c5b2d048c745740e522f9/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001046522?locale=es
7702001050888,Regen Alpix1750 Pitaya Fibr,"Regen  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1750gr,1.0,https://supermercadoslacanasta.com/es/productos/regen-alpix1750-pitaya-fibr,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODY5MzgyLCJwdXIiOiJibG9iX2lkIn19--ac2e4f47bf4fd380f20212c4174dc281607b7779/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001050888?locale=es
7702001100736,Multipa X4 Bon Yurt Zucaritas,"Multipa  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",171gr,1.0,https://supermercadoslacanasta.com/es/productos/multipa-x4-bon-yurt-zucaritas,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODc0NzM3LCJwdXIiOiJibG9iX2lkIn19--a638b5ab9accd1b63cf72f1e52e21f0adacc2901/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001100736?locale=es
7702001100743,Multipa X4 Chocokrispi,"Multipa  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",171gr,1.0,https://supermercadoslacanasta.com/es/productos/multipa-x4-chocokrispi,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTMzMDU2LCJwdXIiOiJibG9iX2lkIn19--7de87415e72b6c5ed35a128a9dff4f8397af147b/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001100743_a.png?locale=es
7702001100095,Alpinito Multisab 45gr X12 Und,"Alpinito  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",540gr,1.0,https://supermercadoslacanasta.com/es/productos/alpinito-multisab-45gr-x12-und,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTMzMDY1LCJwdXIiOiJibG9iX2lkIn19--e5bae18eb8a0ff24b7ecbc6ce7c09e37eecc4389/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001100095%20.JPG?locale=es
7702001101474,Multipack Yox X100gr X8 Multisabor,"Multipack  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",800gr,1.0,https://supermercadoslacanasta.com/es/productos/multipack-yox-x100-gr-x8-multisabor,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODc0NzM4LCJwdXIiOiJibG9iX2lkIn19--9d61be5d29a18ed56c8139e0aa5f384a3d5cf998/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702001101474?locale=es
7702477422660,Yogurt Gloria Fresa Bot 1000g,"Yogurt  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1000gr,1.0,https://supermercadoslacanasta.com/es/productos/yogurt-gloria-fresa-bot-1000g,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODc3NzgxLCJwdXIiOiJibG9iX2lkIn19--1a1bf7699b1d56f1597236d001a4b8386dfe1b90/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702477422660?locale=es
7702085019023,Pasta Spaghetti Doria X 1000g,"Pasta  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1000gr,1.0,https://supermercadoslacanasta.com/es/productos/pasta-doria-spaguetti-x1000-gr,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTM2ODU1LCJwdXIiOiJibG9iX2lkIn19--55311ad9e7634d8e704a0630cb573ff9656f2b99/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702085019023.png?locale=es
7703812101172,Sal Refisal 100sobres X1g,"SAL  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",1000gr,1.0,https://supermercadoslacanasta.com/es/productos/sal-refisal-x1k-x100sobres,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTM3NzYwLCJwdXIiOiJibG9iX2lkIn19--0d7bd445daa3249ee268e7c5f738a618354024d7/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7703812101172.png?locale=es
7703812007559,Sal Refisal Bolsa Marina X800gr,"Sal  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",800gr,1.0,https://supermercadoslacanasta.com/es/productos/sal-refisal-bolsa-marina-x800-gr,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODcwOTYxLCJwdXIiOiJibG9iX2lkIn19--76d27cfca186af6380d3cc613febe5163b50f3ea/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7703812007559?locale=es
7702477112615,Crema De Leche Cremax Bolsa X900ml,"Cremax  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",200gr,1.0,https://supermercadoslacanasta.com/es/productos/cremax-algarra-x900,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTM2NzU0LCJwdXIiOiJibG9iX2lkIn19--414c5c4d23b927f499daab5bce66c5ecc01b61e4/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702477112615.png?locale=es
7702477112639,Crema De Leche Uht Algarra X 200 Ml,"Cremax  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",200ml,1.0,https://supermercadoslacanasta.com/es/productos/cremax-algarra-x200,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6OTU4MjcxLCJwdXIiOiJibG9iX2lkIn19--8b76dfa9a08ec083ecf82b4f32a92ba18b25a3ef/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702477112639.png?locale=es
7702025132652,Galletas Saltin Noel X6 Tacosx 524gr,"Galletas  al mejor precio a domicilio en Sogamoso y Floridablanca, Mercado, Descuento, Bingo, Comfaboy",524gr,1.0,https://supermercadoslacanasta.com/es/productos/galletas-saltin-noel-x6-tacosx-524gr,https://supermercadoslacanasta.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6ODgzNDU2LCJwdXIiOiJibG9iX2lkIn19--3259da312725f702ee5ed3f166a06a889e174ed3/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2xpbWl0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--70f4b579901d1fdafab21fbd125e901cb7a8fe87/7702025132652.jpg?locale=es
